CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2242415	366485	85.95	2608900
2	1143	248	82.17	1391
3	1749	369	82.58	2118
4	49456	9914	83.30	59370
5	81141	13303	85.91	94444
6	64964	13730	82.55	78694
7	80304	16877	82.63	97181
8	51436	13895	78.73	65331
9	60521	14096	81.11	74617
10	68853	16088	81.06	84941
11	94284	17391	84.43	111675
12	91832	17311	84.14	109143
13	65600	15133	81.26	80733
14	86589	15580	84.75	102169
15	55496	20289	73.23	75785
16	108594	15547	87.48	124141
17	73622	15184	82.90	88806
18	96811	14337	87.10	111148
19	74272	14541	83.63	88813
20	71363	14206	83.40	85569
21	68601	16180	80.92	84781
22	105538	18608	85.01	124146
23	71463	15931	81.77	87394
24	76883	17166	81.75	94049
25	100906	16168	86.19	117074
26	60708	15277	79.89	75985
27	71894	20115	78.14	92009
28	65637	14571	81.83	80208
29	60059	15050	79.96	75109
30	56448	13509	80.69	69957
31	73835	14063	84.00	87898
32	67301	15334	81.44	82635
33	86581	14054	86.03	100635
34	71545	14981	82.69	86526
35	90847	16918	84.30	107765
36	77327	14863	83.88	92190
37	60447	16020	79.05	76467
38	58516	14458	80.19	72974
39	99723	15748	86.36	115471
40	83475	17185	82.93	100660
41	60456	13671	81.56	74127
42	70281	16304	81.17	86585
43	68626	15551	81.53	84177
44	56805	13987	80.24	70792
45	75106	15029	83.33	90135
46	97327	15686	86.12	113013
47	74642	15067	83.20	89709
48	60017	13775	81.33	73792
49	87952	17098	83.72	105050
50	67508	14289	82.53	81797
51	57972	16596	77.74	74568
52	72310	14920	82.90	87230
53	69157	15325	81.86	84482
54	63132	16692	79.09	79824
55	84405	14793	85.09	99198
56	81280	15433	84.04	96713
57	59907	14332	80.69	74239
58	97513	14954	86.70	112467
59	79208	14691	84.35	93899
60	69735	15441	81.87	85176
61	64450	15100	81.02	79550
62	62269	15277	80.30	77546
63	92503	14082	86.79	106585
64	66873	16362	80.34	83235
65	101298	16092	86.29	117390
66	55799	13823	80.15	69622
67	50932	13686	78.82	64618
68	87603	20663	80.91	108266
69	76327	14383	84.14	90710
70	85343	14841	85.19	100184
71	65471	14160	82.22	79631
72	72219	14119	83.65	86338
73	57761	14376	80.07	72137
74	60443	17733	77.32	78176
75	96572	15344	86.29	111916
76	84457	15925	84.14	100382
77	61875	14876	80.62	76751
78	61704	14145	81.35	75849
79	60439	14925	80.20	75364
80	100895	14683	87.30	115578
81	60610	15537	79.60	76147
82	100441	16899	85.60	117340
83	64106	15209	80.82	79315
84	57174	14034	80.29	71208
85	96551	16109	85.70	112660
86	69423	13981	83.24	83404
87	79183	14602	84.43	93785
88	85478	14296	85.67	99774
89	56478	12498	81.88	68976
90	118858	14401	89.19	133259
